           1           2 ( -1.0000000000000000     ,  0.0000000000000000     )
           1           4 ( -1.0000000000000000     ,  0.0000000000000000     )
           1           5 ( -1.0000000000000000     ,  0.0000000000000000     )
           1          13 ( -1.0000000000000000     ,  0.0000000000000000     )
           2           1 ( -1.0000000000000000     ,  0.0000000000000000     )
           2           3 ( -1.0000000000000000     ,  0.0000000000000000     )
           2           6 ( -1.0000000000000000     ,  0.0000000000000000     )
           2          14 ( -1.0000000000000000     ,  0.0000000000000000     )
           3           2 ( -1.0000000000000000     ,  0.0000000000000000     )
           3           4 ( -1.0000000000000000     ,  0.0000000000000000     )
           3           7 ( -1.0000000000000000     ,  0.0000000000000000     )
           3          15 ( -1.0000000000000000     ,  0.0000000000000000     )
           4           1 ( -1.0000000000000000     ,  0.0000000000000000     )
           4           3 ( -1.0000000000000000     ,  0.0000000000000000     )
           4           8 ( -1.0000000000000000     ,  0.0000000000000000     )
           4          16 ( -1.0000000000000000     ,  0.0000000000000000     )
           5           1 ( -1.0000000000000000     ,  0.0000000000000000     )
           5           6 ( -1.0000000000000000     ,  0.0000000000000000     )
           5           8 ( -1.0000000000000000     ,  0.0000000000000000     )
           5           9 ( -1.0000000000000000     ,  0.0000000000000000     )
           6           2 ( -1.0000000000000000     ,  0.0000000000000000     )
           6           5 ( -1.0000000000000000     ,  0.0000000000000000     )
           6           7 ( -1.0000000000000000     ,  0.0000000000000000     )
           6          10 ( -1.0000000000000000     ,  0.0000000000000000     )
           7           3 ( -1.0000000000000000     ,  0.0000000000000000     )
           7           6 ( -1.0000000000000000     ,  0.0000000000000000     )
           7           8 ( -1.0000000000000000     ,  0.0000000000000000     )
           7          11 ( -1.0000000000000000     ,  0.0000000000000000     )
           8           4 ( -1.0000000000000000     ,  0.0000000000000000     )
           8           5 ( -1.0000000000000000     ,  0.0000000000000000     )
           8           7 ( -1.0000000000000000     ,  0.0000000000000000     )
           8          12 ( -1.0000000000000000     ,  0.0000000000000000     )
           9           5 ( -1.0000000000000000     ,  0.0000000000000000     )
           9          10 ( -1.0000000000000000     ,  0.0000000000000000     )
           9          12 ( -1.0000000000000000     ,  0.0000000000000000     )
           9          13 ( -1.0000000000000000     ,  0.0000000000000000     )
          10           6 ( -1.0000000000000000     ,  0.0000000000000000     )
          10           9 ( -1.0000000000000000     ,  0.0000000000000000     )
          10          11 ( -1.0000000000000000     ,  0.0000000000000000     )
          10          14 ( -1.0000000000000000     ,  0.0000000000000000     )
          11           7 ( -1.0000000000000000     ,  0.0000000000000000     )
          11          10 ( -1.0000000000000000     ,  0.0000000000000000     )
          11          12 ( -1.0000000000000000     ,  0.0000000000000000     )
          11          15 ( -1.0000000000000000     ,  0.0000000000000000     )
          12           8 ( -1.0000000000000000     ,  0.0000000000000000     )
          12           9 ( -1.0000000000000000     ,  0.0000000000000000     )
          12          11 ( -1.0000000000000000     ,  0.0000000000000000     )
          12          16 ( -1.0000000000000000     ,  0.0000000000000000     )
          13           1 ( -1.0000000000000000     ,  0.0000000000000000     )
          13           9 ( -1.0000000000000000     ,  0.0000000000000000     )
          13          14 ( -1.0000000000000000     ,  0.0000000000000000     )
          13          16 ( -1.0000000000000000     ,  0.0000000000000000     )
          14           2 ( -1.0000000000000000     ,  0.0000000000000000     )
          14          10 ( -1.0000000000000000     ,  0.0000000000000000     )
          14          13 ( -1.0000000000000000     ,  0.0000000000000000     )
          14          15 ( -1.0000000000000000     ,  0.0000000000000000     )
          15           3 ( -1.0000000000000000     ,  0.0000000000000000     )
          15          11 ( -1.0000000000000000     ,  0.0000000000000000     )
          15          14 ( -1.0000000000000000     ,  0.0000000000000000     )
          15          16 ( -1.0000000000000000     ,  0.0000000000000000     )
          16           4 ( -1.0000000000000000     ,  0.0000000000000000     )
          16          12 ( -1.0000000000000000     ,  0.0000000000000000     )
          16          13 ( -1.0000000000000000     ,  0.0000000000000000     )
          16          15 ( -1.0000000000000000     ,  0.0000000000000000     )
          17          18 ( -1.0000000000000000     ,  0.0000000000000000     )
          17          20 ( -1.0000000000000000     ,  0.0000000000000000     )
          17          21 ( -1.0000000000000000     ,  0.0000000000000000     )
          17          29 ( -1.0000000000000000     ,  0.0000000000000000     )
          18          17 ( -1.0000000000000000     ,  0.0000000000000000     )
          18          19 ( -1.0000000000000000     ,  0.0000000000000000     )
          18          22 ( -1.0000000000000000     ,  0.0000000000000000     )
          18          30 ( -1.0000000000000000     ,  0.0000000000000000     )
          19          18 ( -1.0000000000000000     ,  0.0000000000000000     )
          19          20 ( -1.0000000000000000     ,  0.0000000000000000     )
          19          23 ( -1.0000000000000000     ,  0.0000000000000000     )
          19          31 ( -1.0000000000000000     ,  0.0000000000000000     )
          20          17 ( -1.0000000000000000     ,  0.0000000000000000     )
          20          19 ( -1.0000000000000000     ,  0.0000000000000000     )
          20          24 ( -1.0000000000000000     ,  0.0000000000000000     )
          20          32 ( -1.0000000000000000     ,  0.0000000000000000     )
          21          17 ( -1.0000000000000000     ,  0.0000000000000000     )
          21          22 ( -1.0000000000000000     ,  0.0000000000000000     )
          21          24 ( -1.0000000000000000     ,  0.0000000000000000     )
          21          25 ( -1.0000000000000000     ,  0.0000000000000000     )
          22          18 ( -1.0000000000000000     ,  0.0000000000000000     )
          22          21 ( -1.0000000000000000     ,  0.0000000000000000     )
          22          23 ( -1.0000000000000000     ,  0.0000000000000000     )
          22          26 ( -1.0000000000000000     ,  0.0000000000000000     )
          23          19 ( -1.0000000000000000     ,  0.0000000000000000     )
          23          22 ( -1.0000000000000000     ,  0.0000000000000000     )
          23          24 ( -1.0000000000000000     ,  0.0000000000000000     )
          23          27 ( -1.0000000000000000     ,  0.0000000000000000     )
          24          20 ( -1.0000000000000000     ,  0.0000000000000000     )
          24          21 ( -1.0000000000000000     ,  0.0000000000000000     )
          24          23 ( -1.0000000000000000     ,  0.0000000000000000     )
          24          28 ( -1.0000000000000000     ,  0.0000000000000000     )
          25          21 ( -1.0000000000000000     ,  0.0000000000000000     )
          25          26 ( -1.0000000000000000     ,  0.0000000000000000     )
          25          28 ( -1.0000000000000000     ,  0.0000000000000000     )
          25          29 ( -1.0000000000000000     ,  0.0000000000000000     )
          26          22 ( -1.0000000000000000     ,  0.0000000000000000     )
          26          25 ( -1.0000000000000000     ,  0.0000000000000000     )
          26          27 ( -1.0000000000000000     ,  0.0000000000000000     )
          26          30 ( -1.0000000000000000     ,  0.0000000000000000     )
          27          23 ( -1.0000000000000000     ,  0.0000000000000000     )
          27          26 ( -1.0000000000000000     ,  0.0000000000000000     )
          27          28 ( -1.0000000000000000     ,  0.0000000000000000     )
          27          31 ( -1.0000000000000000     ,  0.0000000000000000     )
          28          24 ( -1.0000000000000000     ,  0.0000000000000000     )
          28          25 ( -1.0000000000000000     ,  0.0000000000000000     )
          28          27 ( -1.0000000000000000     ,  0.0000000000000000     )
          28          32 ( -1.0000000000000000     ,  0.0000000000000000     )
          29          17 ( -1.0000000000000000     ,  0.0000000000000000     )
          29          25 ( -1.0000000000000000     ,  0.0000000000000000     )
          29          30 ( -1.0000000000000000     ,  0.0000000000000000     )
          29          32 ( -1.0000000000000000     ,  0.0000000000000000     )
          30          18 ( -1.0000000000000000     ,  0.0000000000000000     )
          30          26 ( -1.0000000000000000     ,  0.0000000000000000     )
          30          29 ( -1.0000000000000000     ,  0.0000000000000000     )
          30          31 ( -1.0000000000000000     ,  0.0000000000000000     )
          31          19 ( -1.0000000000000000     ,  0.0000000000000000     )
          31          27 ( -1.0000000000000000     ,  0.0000000000000000     )
          31          30 ( -1.0000000000000000     ,  0.0000000000000000     )
          31          32 ( -1.0000000000000000     ,  0.0000000000000000     )
          32          20 ( -1.0000000000000000     ,  0.0000000000000000     )
          32          28 ( -1.0000000000000000     ,  0.0000000000000000     )
          32          29 ( -1.0000000000000000     ,  0.0000000000000000     )
          32          31 ( -1.0000000000000000     ,  0.0000000000000000     )
