   1   1     0.43930648     0.00000000     0.00896528
   2   1     0.08447862     0.00000000     0.00717156
   3   1     0.00689196     0.00000000     0.00759173
   4   1     0.09656975     0.00000000     0.01136060
   5   1     0.14290422     0.00000000     0.01257669
   6   1     0.01427539     0.00000000     0.00686831
   7   1    -0.06039526     0.00000000     0.02394089
   8   1    -0.01104472     0.00000000     0.00387682
   9   1     0.00541392     0.00000000     0.00675865
  10   1    -0.03098710     0.00000000     0.00672322
  11   1     0.00762765     0.00000000     0.01466966
  12   1    -0.01675714     0.00000000     0.00572923
  13   1     0.10639004     0.00000000     0.01424521
  14   1    -0.04058274     0.00000000     0.02088484
  15   1    -0.00913731     0.00000000     0.01400739
  16   1     0.01746842     0.00000000     0.00513513
  17   1     0.00000000     0.00000000     0.00000000
  18   1     0.00000000     0.00000000     0.00000000
  19   1     0.00000000     0.00000000     0.00000000
  20   1     0.00000000     0.00000000     0.00000000
  21   1     0.00000000     0.00000000     0.00000000
  22   1     0.00000000     0.00000000     0.00000000
  23   1     0.00000000     0.00000000     0.00000000
  24   1     0.00000000     0.00000000     0.00000000
  25   1     0.00000000     0.00000000     0.00000000
  26   1     0.00000000     0.00000000     0.00000000
  27   1     0.00000000     0.00000000     0.00000000
  28   1     0.00000000     0.00000000     0.00000000
  29   1     0.00000000     0.00000000     0.00000000
  30   1     0.00000000     0.00000000     0.00000000
  31   1     0.00000000     0.00000000     0.00000000
  32   1     0.00000000     0.00000000     0.00000000
   1   2     0.09767304     0.00000000     0.00260613
   2   2     0.47139050     0.00000000     0.01566685
   3   2     0.09086368     0.00000000     0.00724396
   4   2    -0.01593358     0.00000000     0.00404195
   5   2     0.00359701     0.00000000     0.00622686
   6   2     0.10170582     0.00000000     0.00281810
   7   2     0.01698245     0.00000000     0.01986630
   8   2    -0.01612641     0.00000000     0.00553131
   9   2    -0.01978541     0.00000000     0.00447612
  10   2    -0.02703171     0.00000000     0.00758111
  11   2    -0.02587765     0.00000000     0.00810860
  12   2     0.02753787     0.00000000     0.00672125
  13   2     0.01927167     0.00000000     0.00482244
  14   2     0.11330372     0.00000000     0.01432806
  15   2    -0.01186945     0.00000000     0.00255858
  16   2    -0.02030118     0.00000000     0.00412432
  17   2     0.00000000     0.00000000     0.00000000
  18   2     0.00000000     0.00000000     0.00000000
  19   2     0.00000000     0.00000000     0.00000000
  20   2     0.00000000     0.00000000     0.00000000
  21   2     0.00000000     0.00000000     0.00000000
  22   2     0.00000000     0.00000000     0.00000000
  23   2     0.00000000     0.00000000     0.00000000
  24   2     0.00000000     0.00000000     0.00000000
  25   2     0.00000000     0.00000000     0.00000000
  26   2     0.00000000     0.00000000     0.00000000
  27   2     0.00000000     0.00000000     0.00000000
  28   2     0.00000000     0.00000000     0.00000000
  29   2     0.00000000     0.00000000     0.00000000
  30   2     0.00000000     0.00000000     0.00000000
  31   2     0.00000000     0.00000000     0.00000000
  32   2     0.00000000     0.00000000     0.00000000
   1   3     0.00189685     0.00000000     0.00901228
   2   3     0.10711160     0.00000000     0.00673650
   3   3     0.43118358     0.00000000     0.01883359
   4   3     0.11397016     0.00000000     0.00478123
   5   3    -0.01527817     0.00000000     0.00556746
   6   3     0.01276617     0.00000000     0.00731684
   7   3     0.12336958     0.00000000     0.00853851
   8   3     0.02057164     0.00000000     0.00337716
   9   3    -0.02897167     0.00000000     0.00843105
  10   3    -0.01484371     0.00000000     0.00233294
  11   3     0.00823908     0.00000000     0.00690516
  12   3    -0.02411169     0.00000000     0.00330836
  13   3    -0.02001663     0.00000000     0.00753043
  14   3     0.03091371     0.00000000     0.00745931
  15   3     0.11977004     0.00000000     0.00580486
  16   3     0.01587130     0.00000000     0.00784162
  17   3     0.00000000     0.00000000     0.00000000
  18   3     0.00000000     0.00000000     0.00000000
  19   3     0.00000000     0.00000000     0.00000000
  20   3     0.00000000     0.00000000     0.00000000
  21   3     0.00000000     0.00000000     0.00000000
  22   3     0.00000000     0.00000000     0.00000000
  23   3     0.00000000     0.00000000     0.00000000
  24   3     0.00000000     0.00000000     0.00000000
  25   3     0.00000000     0.00000000     0.00000000
  26   3     0.00000000     0.00000000     0.00000000
  27   3     0.00000000     0.00000000     0.00000000
  28   3     0.00000000     0.00000000     0.00000000
  29   3     0.00000000     0.00000000     0.00000000
  30   3     0.00000000     0.00000000     0.00000000
  31   3     0.00000000     0.00000000     0.00000000
  32   3     0.00000000     0.00000000     0.00000000
   1   4     0.09026262     0.00000000     0.00940429
   2   4     0.00291328     0.00000000     0.00430698
   3   4     0.10413236     0.00000000     0.01147625
   4   4     0.42295281     0.00000000     0.01293831
   5   4     0.01405074     0.00000000     0.00265915
   6   4    -0.06039372     0.00000000     0.03261971
   7   4     0.00402326     0.00000000     0.01549850
   8   4     0.09683337     0.00000000     0.00629198
   9   4    -0.01475483     0.00000000     0.01226620
  10   4     0.01634153     0.00000000     0.00391015
  11   4    -0.03348531     0.00000000     0.01039348
  12   4    -0.03137414     0.00000000     0.00732913
  13   4     0.01160693     0.00000000     0.00744109
  14   4    -0.02276052     0.00000000     0.01038294
  15   4    -0.00547954     0.00000000     0.00494862
  16   4     0.08756732     0.00000000     0.00698500
  17   4     0.00000000     0.00000000     0.00000000
  18   4     0.00000000     0.00000000     0.00000000
  19   4     0.00000000     0.00000000     0.00000000
  20   4     0.00000000     0.00000000     0.00000000
  21   4     0.00000000     0.00000000     0.00000000
  22   4     0.00000000     0.00000000     0.00000000
  23   4     0.00000000     0.00000000     0.00000000
  24   4     0.00000000     0.00000000     0.00000000
